number_treatment,temperature,humidity,rain,wind,sunshine,insolation,pressure,so2,fine_dust,no2,ozone,co,blog,twitter,news,date
388743,22.02510607,93.27861554,68.47372795,2.165043551,0.131500747,3.086854608,1009.446949,0.002651115,12.26318207,0.014465469,0.027176463,0.440328745,1376,4390,38,mon
356614,19.57926344,89.47775149,56.66451984,2.274937503,0.683480328,2.312160816,1008.240295,0.002772838,15.11183271,0.015038988,0.030503806,0.398744413,2140,5754,28,wed
272985,23.92816886,89.20770216,50.94048416,2.260809352,1.690144245,4.6568378,998.1298439,0.003696671,26.27018822,0.015470025,0.034050157,0.389115627,746,2854,40,fri
401014,23.84757071,89.89094212,46.45135213,1.941459073,0.577616704,3.206160314,1007.132911,0.003285418,28.43140337,0.015915175,0.02695958,0.494641681,1183,4522,37,mon
508750,19.74540555,82.52171534,44.84623344,3.147628684,0.021220882,2.478510788,1010.317957,0.003787152,44.55821896,0.015270805,0.039251338,0.430845651,1145,5686,44,mon
285472,22.96847506,91.22764606,36.94196368,1.881556202,0.073816291,1.809803951,997.1270981,0.003683688,28.11894542,0.017618582,0.02457417,0.437985402,920,4080,25,tue
404016,16.35501212,92.68431895,36.51374061,2.195994582,0.267672281,1.682493904,1015.50326,0.002983808,21.18103234,0.018243699,0.025669264,0.529351718,2818,9294,6,tue
265863,25.00293359,83.52849269,35.54054186,1.408836329,4.171259646,6.754817702,1006.743878,0.003244482,22.00299539,0.014728396,0.032277388,0.423587446,691,3118,86,sat
276625,25.72339785,89.45658192,34.87150746,1.464129646,1.036955987,3.607424903,1008.146126,0.003324119,18.6894054,0.014116153,0.015727288,0.380187357,798,2992,91,fri
214389,27.40578173,74.84677454,34.19687531,4.222959044,2.355527229,6.130535482,1000.646566,0.003218909,15.91803235,0.007491177,0.026642137,0.28310642,664,3395,18,sat
253541,23.96172733,88.12362803,33.74991757,2.739353309,2.975065925,6.10206781,1007.815501,0.003109036,16.82170211,0.012684629,0.031157198,0.372904086,1274,6918,62,thu
53849,25.27851424,88.01632212,31.68289419,3.771588015,0.398564068,3.699450122,989.4789335,0.002884584,15.09114773,0.007224486,0.031932053,0.329176479,1142,3887,29,sun
401959,22.80370867,87.33788927,31.11876411,1.540316109,1.94421284,4.520985236,1009.93513,0.003276395,20.62780143,0.015850962,0.027043836,0.395539993,943,4961,11,sat
330357,21.81326082,91.12268157,31.1046499,2.367698897,0.141688707,2.435256217,1004.24592,0.003241069,20.73198096,0.014661979,0.03263087,0.473135224,1577,6618,50,wed
368021,20.60398472,89.7513695,30.95752923,2.79915023,0.014158092,1.59678609,1011.703347,0.002864666,17.96329663,0.013009204,0.02357128,0.38327721,1658,8349,24,tue
769708,10.27275883,85.45145733,29.84250727,1.588624109,0.114047946,1.141990742,1019.708778,0.00441455,40.83931885,0.028157911,0.013776922,0.804039821,2729,9273,213,mon
240736,26.68272949,82.05726062,29.80072035,2.064876363,4.024026071,8.34801536,1011.206958,0.003420044,23.98014173,0.009634848,0.018029423,0.311859203,530,3324,5,sat
425217,9.055427237,90.17394819,28.91444168,2.767063429,0.011567101,0.659380877,1018.82534,0.005143992,37.84810774,0.026306752,0.026451972,0.821588504,1480,7878,17,fri
372110,19.56003741,90.90710545,28.40145406,2.399084905,0.322992217,2.906149649,1006.083111,0.003285747,21.32777116,0.014662308,0.029196529,0.466236043,1029,4279,50,tue
352772,27.6636136,76.64098566,28.15744303,2.490350275,5.609687968,10.18875179,1008.701806,0.003256019,23.47321327,0.009938778,0.028257834,0.317165821,803,3321,145,mon
663279,13.83413117,87.47423406,26.83664415,3.353578574,0.194290022,2.818569971,1013.061072,0.002945454,15.43123727,0.013118498,0.043295183,0.35684631,1503,4663,32,mon
523418,8.624993999,86.05712899,25.55006821,3.133685397,0.09839694,1.41237136,1000.086491,0.004250339,53.78593855,0.019140251,0.039739556,0.691277099,1238,11389,9,sat
285311,24.47553609,86.8174406,25.09680135,1.844278111,3.715767938,7.024201544,1012.360187,0.003238496,16.92493398,0.014421341,0.028332291,0.309127359,940,3462,30,fri
79240,19.32688902,90.62906987,24.78681549,1.468550281,0.085208021,2.091259022,1015.443136,0.003160221,22.43187453,0.015096116,0.025192509,0.45037226,1234,9913,17,sun
