annual_inc,bc_util,dti,num_accts_ever_120_pd,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bc_limit,avg_cur_bal,pct_tl_nvr_dlq,total_acc,int_rate,home_ownership,term,TARGET
53000,88.8,25.25,0,0,0,132074,11200,14564,100,17,20.49,OWN, 60 months,1
60000,94.4,25.88,1,0,0,68761,6300,5565,87.5,16,12.29,RENT, 36 months,0
125000,82.5,10.93,0,0,0,229006,15000,14929,100,41,7.89,RENT, 36 months,0
90000,77.6,22.75,0,0,0,248018,43900,12054,100,41,17.57,MORTGAGE, 60 months,0
76863,43.3,19.53,2,0,0,40792,2400,3816,77.8,20,9.17,MORTGAGE, 36 months,0
90000,92.1,19.65,0,1,0,291672,9000,28532,100,13,9.99,MORTGAGE, 36 months,0
49920,98.2,12.5,0,0,0,72319,12500,4972,92.9,14,12.29,MORTGAGE, 60 months,0
95000,15.7,16.09,0,0,0,122532,26400,11320,100,21,6.68,RENT, 36 months,0
45215,33.1,26.07,0,1,0,63767,12700,2317,100,40,13.33,OWN, 36 months,0
145000,43.3,20.16,1,0,0,689428,47300,38028,96,25,9.17,MORTGAGE, 36 months,0
42000,63.3,17.14,1,1,0,48250,3800,2814,100,18,10.99,MORTGAGE, 60 months,0
85000,80.8,23.58,0,0,0,144170,10700,10174,97.1,39,17.57,RENT, 60 months,0
95000,55.5,21.78,0,0,0,85900,38600,1967,96.9,32,6.39,RENT, 36 months,0
42000,92.8,11.8,0,0,0,15529,5000,2757,100,12,12.69,MORTGAGE, 36 months,0
77000,46.8,19.2,0,1,0,93884,24100,4401,100,26,10.99,MORTGAGE, 60 months,0
87180,18.1,12.91,0,0,0,431142,44300,31944,96.2,27,7.89,MORTGAGE, 36 months,0
80000,28,19.97,0,0,0,167662,39700,6036,100,36,6.68,MORTGAGE, 36 months,0
41000,17.9,18.21,3,0,0,33382,4000,4160,81.8,23,16.99,RENT, 36 months,0
43000,40.5,27.46,7,0,0,69450,4300,5118,65.2,46,14.65,OWN, 36 months,0
30000,81.7,33.4,0,0,0,57554,27900,3852,100,13,19.52,RENT, 36 months,0
119900,44.1,15.49,1,0,0,436286,33300,21734,85.7,37,7.89,MORTGAGE, 36 months,0
10043,20.8,27.39,2,1,0,22100,15700,419,93.3,38,12.69,RENT, 36 months,0
70000,83.2,21.65,0,0,0,50337,16500,7138,100,28,13.33,RENT, 60 months,0
85000,63.1,27.5,0,0,0,256500,41300,5544,100,43,8.18,MORTGAGE, 36 months,1
92000,76.7,25.36,0,0,0,314006,15700,19277,100,35,13.33,MORTGAGE, 36 months,0
