AGE,TOT_LOAN,TOT_LOAN_CRD,LOAN_BNK,LOAN_CPT,CRDT_CNT,GUARN_CNT,INCOME,LOAN_CRD_CNT,LATE_RATE,LATE_RATE_1Y,INS_MON_MAX,CANCEL_CNT_1Y,CALL_TIME,TEL_COST_MON,MOBILE_PRICE,SUSP_DAY,LATE_TEL,COMB_COMM,SEX,PAY_METHOD,JOB,TARGET
40,6,6,6,0,0,0,4500,0,16,0,3990,0,1.52,120,500,0,120,0,M,A,A,0
35,9,9,0,0,1,0,3700,0,9,0,160,0,2.14,100,800,0,0,0,M,C,B,0
55,9,9,0,0,0,0,6400,0,1,0,260,0,0.5,50,700,0,0,0,M,C,B,0
55,42,0,42,0,5,0,8900,0,13,30,1990,0,2.61,80,900,0,0,0,M,B,C,0
40,36,36,36,0,3,1,0,0,2,0,160,0,2.11,10,900,0,0,1,F,B,B,0
45,141,18,105,33,7,0,0,0,11,0,120,0,1.52,80,800,0,0,1,M,B,B,0
45,348,0,0,0,3,0,7900,0,3,0,2990,0,0.69,120,900,1,0,0,F,C,C,0
35,123,123,0,0,3,0,3900,0,0,0,120,0,3.26,80,900,0,0,1,F,C,C,0
40,201,24,201,0,4,0,0,0,11,0,340,0,1.57,60,500,0,0,1,F,C,B,0
35,75,75,75,0,2,0,4400,0,6,10,340,0,7.94,100,0,0,0,1,F,B,B,0
40,24,21,0,15,4,0,0,2,2,10,300,0,0.2,20,400,0,30,0,M,B,B,0
30,90,18,72,18,2,0,3200,0,0,0,80,0,0.83,100,0,0,0,0,M,C,C,0
50,27,0,0,0,1,1,4800,0,2,0,340,0,1.85,20,0,0,0,0,F,C,B,0
50,21,21,0,0,2,0,0,0,0,0,100,0,6.52,80,900,0,0,0,F,C,B,0
35,105,0,0,0,2,0,0,0,6,30,150,0,0.73,50,800,133,0,1,M,B,B,0
55,18,18,18,0,3,0,0,0,0,0,230,0,0.61,40,900,0,0,1,F,C,B,0
55,132,0,132,0,0,0,0,1,6,0,140,0,1.42,40,0,0,30,0,F,C,B,0
55,27,0,27,0,3,0,5900,0,0,0,590,0,1.67,50,500,0,0,1,F,C,B,0
45,165,165,0,0,3,0,0,0,0,0,130,0,1.13,30,0,97,0,1,F,B,B,0
40,75,75,75,0,4,0,4000,0,0,0,790,0,0,0,0,0,0,0,M,B,A,0
45,12,12,0,12,3,0,4400,0,6,0,230,0,0,0,0,0,0,0,F,C,C,0
35,0,0,0,0,3,0,4700,0,27,30,300,0,0.33,60,600,0,0,1,F,B,C,0
